tanggal,bi_7day_rr
2024-08-03,8.15
2024-08-04,8.41
2024-08-05,8.18
2024-08-06,8.44
2024-08-07,8.21
2024-08-08,8.47
2024-08-09,8.24
2024-08-10,8.50
2024-08-11,8.27
2024-08-12,8.53
2024-08-13,8.30
2024-08-14,8.56
2024-08-15,8.33
2024-08-16,8.59
2024-08-17,8.36
2024-08-18,8.62
2024-08-19,8.39
2024-08-20,8.65
2024-08-21,8.42
2024-08-22,8.68
2024-08-23,8.45
2024-08-24,8.71
2024-08-25,8.48
2024-08-26,8.74
2024-08-27,8.51
2024-08-28,8.77
2024-08-29,8.54
2024-08-30,8.80
2024-08-31,8.57
2024-09-01,8.83
2024-09-02,8.60
2024-09-03,8.86
2024-09-04,8.63
2024-09-05,8.89
2024-09-06,8.66
2024-09-07,8.92
2024-09-08,8.69
2024-09-09,8.95
2024-09-10,8.72
2024-09-11,8.98
2024-09-12,8.75
2024-09-13,9.01
2024-09-14,8.78
2024-09-15,9.04
2024-09-16,8.81
2024-09-17,9.07
2024-09-18,8.84
2024-09-19,9.10
2024-09-20,8.87
2024-09-21,9.13
2024-09-22,8.90
2024-09-23,9.16
2024-09-24,8.93
2024-09-25,9.19
2024-09-26,8.96
2024-09-27,9.22
2024-09-28,8.99
2024-09-29,9.25
2024-09-30,9.02
2024-10-01,9.28
2024-10-02,9.05
2024-10-03,9.31
2024-10-04,9.08
2024-10-05,9.34
2024-10-06,9.11
2024-10-07,9.37
2024-10-08,9.14
2024-10-09,9.40
2024-10-10,9.17
2024-10-11,9.43
2024-10-12,9.20
2024-10-13,9.46
2024-10-14,9.23
2024-10-15,9.49
2024-10-16,9.26
2024-10-17,9.52
2024-10-18,9.29
2024-10-19,9.55
2024-10-20,9.32
2024-10-21,9.58
2024-10-22,9.35
2024-10-23,9.61
2024-10-24,9.38
2024-10-25,9.64
2024-10-26,9.41
2024-10-27,9.67
2024-10-28,9.44
2024-10-29,9.70
2024-10-30,9.47
2024-10-31,9.73
2024-11-01,9.50
2024-11-02,9.76
2024-11-03,9.53
2024-11-04,9.79
2024-11-05,9.56
2024-11-06,9.82
2024-11-07,9.59
2024-11-08,9.85
2024-11-09,9.62
2024-11-10,9.88
2024-11-11,9.65
2024-11-12,9.91
2024-11-13,9.68
2024-11-14,9.94
2024-11-15,9.71
2024-11-16,9.97
2024-11-17,9.74
2024-11-18,10.00
2024-11-19,9.77
2024-11-20,10.03
2024-11-21,9.80
2024-11-22,10.06
2024-11-23,9.83
2024-11-24,10.09
2024-11-25,9.86
2024-11-26,10.12
2024-11-27,9.89
2024-11-28,10.15
2024-11-29,9.92
2024-11-30,10.18
2024-12-01,9.95
2024-12-02,10.21
2024-12-03,9.98
2024-12-04,10.24
2024-12-05,10.01
2024-12-06,10.27
2024-12-07,10.04
2024-12-08,10.30
2024-12-09,10.07
2024-12-10,10.33
2024-12-11,10.10
2024-12-12,10.36
2024-12-13,10.13
2024-12-14,10.39
2024-12-15,10.16
2024-12-16,10.42
2024-12-17,10.19
2024-12-18,10.45
2024-12-19,10.22
2024-12-20,10.48
2024-12-21,10.25
2024-12-22,10.51
2024-12-23,10.28
2024-12-24,10.54
2024-12-25,10.31
2024-12-26,10.57
2024-12-27,10.34
2024-12-28,10.60
2024-12-29,10.37
2024-12-30,10.63
2024-12-31,10.40
