provinsi,tahun,bulan,inflasi
Papua Barat,2024,1,2.89
Papua Barat,2024,2,3.12
Papua Barat,2024,3,2.76
Papua Barat,2024,4,2.95
Papua Barat,2024,5,2.83
Papua Barat,2024,6,2.39
Papua Barat,2024,7,2.51
Papua Barat,2024,8,2.57
Papua Barat,2024,9,2.84
Papua Barat,2024,10,2.91
Papua Barat,2024,11,2.98
Papua Barat,2024,12,2.94
