provinsi,tahun,bulan,inflasi
Jawa Timur,2025,3,2.15
Jawa Timur,2025,4,2.34
Jawa Timur,2025,5,2.22
Jawa Timur,2025,6,1.78
Jawa Timur,2025,7,1.90
Jawa Timur,2025,8,1.96
Jawa Timur,2025,9,2.23
Jawa Timur,2025,10,2.30
Jawa Timur,2025,11,2.37
Jawa Timur,2025,12,2.33
Banten,2025,1,2.50
Banten,2025,2,2.73
Banten,2025,3,2.37
Banten,2025,4,2.56
Banten,2025,5,2.44
Banten,2025,6,2.00
Banten,2025,7,2.12
Banten,2025,8,2.18
Banten,2025,9,2.45
Banten,2025,10,2.52
Banten,2025,11,2.59
Banten,2025,12,2.55
Bali,2025,1,2.84
Bali,2025,2,3.07
Bali,2025,3,2.71
Bali,2025,4,2.90
Bali,2025,5,2.78
Bali,2025,6,2.34
Bali,2025,7,2.46
Bali,2025,8,2.52
Bali,2025,9,2.79
Bali,2025,10,2.86
Bali,2025,11,2.93
Bali,2025,12,2.89
Nusa Tenggara Barat,2025,1,2.61
Nusa Tenggara Barat,2025,2,2.84
Nusa Tenggara Barat,2025,3,2.48
Nusa Tenggara Barat,2025,4,2.67
Nusa Tenggara Barat,2025,5,2.55
Nusa Tenggara Barat,2025,6,2.11
Nusa Tenggara Barat,2025,7,2.23
Nusa Tenggara Barat,2025,8,2.29
Nusa Tenggara Barat,2025,9,2.56
Nusa Tenggara Barat,2025,10,2.63
Nusa Tenggara Barat,2025,11,2.70
Nusa Tenggara Barat,2025,12,2.66
Nusa Tenggara Timur,2025,1,2.39
Nusa Tenggara Timur,2025,2,2.62
Nusa Tenggara Timur,2025,3,2.26
Nusa Tenggara Timur,2025,4,2.45
Nusa Tenggara Timur,2025,5,2.33
Nusa Tenggara Timur,2025,6,1.89
Nusa Tenggara Timur,2025,7,2.01
Nusa Tenggara Timur,2025,8,2.07
Nusa Tenggara Timur,2025,9,2.34
Nusa Tenggara Timur,2025,10,2.41
Nusa Tenggara Timur,2025,11,2.48
Nusa Tenggara Timur,2025,12,2.44
Kalimantan Barat,2025,1,2.17
Kalimantan Barat,2025,2,2.40
Kalimantan Barat,2025,3,2.04
Kalimantan Barat,2025,4,2.23
Kalimantan Barat,2025,5,2.11
Kalimantan Barat,2025,6,1.67
Kalimantan Barat,2025,7,1.79
Kalimantan Barat,2025,8,1.85
Kalimantan Barat,2025,9,2.12
Kalimantan Barat,2025,10,2.19
Kalimantan Barat,2025,11,2.26
Kalimantan Barat,2025,12,2.22
Kalimantan Tengah,2025,1,2.50
Kalimantan Tengah,2025,2,2.73
Kalimantan Tengah,2025,3,2.37
Kalimantan Tengah,2025,4,2.56
Kalimantan Tengah,2025,5,2.44
Kalimantan Tengah,2025,6,2.00
Kalimantan Tengah,2025,7,2.12
Kalimantan Tengah,2025,8,2.18
Kalimantan Tengah,2025,9,2.45
Kalimantan Tengah,2025,10,2.52
Kalimantan Tengah,2025,11,2.59
Kalimantan Tengah,2025,12,2.55
Kalimantan Selatan,2025,1,2.28
Kalimantan Selatan,2025,2,2.51
Kalimantan Selatan,2025,3,2.15
Kalimantan Selatan,2025,4,2.34
Kalimantan Selatan,2025,5,2.22
Kalimantan Selatan,2025,6,1.78
Kalimantan Selatan,2025,7,1.90
Kalimantan Selatan,2025,8,1.96
Kalimantan Selatan,2025,9,2.23
Kalimantan Selatan,2025,10,2.30
Kalimantan Selatan,2025,11,2.37
Kalimantan Selatan,2025,12,2.33
Kalimantan Timur,2025,1,2.06
Kalimantan Timur,2025,2,2.29
Kalimantan Timur,2025,3,1.93
Kalimantan Timur,2025,4,2.12
Kalimantan Timur,2025,5,2.00
Kalimantan Timur,2025,6,1.56
Kalimantan Timur,2025,7,1.68
Kalimantan Timur,2025,8,1.74
Kalimantan Timur,2025,9,2.01
Kalimantan Timur,2025,10,2.08
Kalimantan Timur,2025,11,2.15
Kalimantan Timur,2025,12,2.11
Sulawesi Utara,2025,1,2.39
Sulawesi Utara,2025,2,2.62
Sulawesi Utara,2025,3,2.26
Sulawesi Utara,2025,4,2.45
Sulawesi Utara,2025,5,2.33
Sulawesi Utara,2025,6,1.89
Sulawesi Utara,2025,7,2.01
Sulawesi Utara,2025,8,2.07
Sulawesi Utara,2025,9,2.34
Sulawesi Utara,2025,10,2.41
Sulawesi Utara,2025,11,2.48
Sulawesi Utara,2025,12,2.44
Sulawesi Tengah,2025,1,2.17
Sulawesi Tengah,2025,2,2.40
Sulawesi Tengah,2025,3,2.04
Sulawesi Tengah,2025,4,2.23
Sulawesi Tengah,2025,5,2.11
Sulawesi Tengah,2025,6,1.67
Sulawesi Tengah,2025,7,1.79
Sulawesi Tengah,2025,8,1.85
Sulawesi Tengah,2025,9,2.12
Sulawesi Tengah,2025,10,2.19
Sulawesi Tengah,2025,11,2.26
Sulawesi Tengah,2025,12,2.22
Sulawesi Selatan,2025,1,2.50
Sulawesi Selatan,2025,2,2.73
Sulawesi Selatan,2025,3,2.37
Sulawesi Selatan,2025,4,2.56
Sulawesi Selatan,2025,5,2.44
Sulawesi Selatan,2025,6,2.00
Sulawesi Selatan,2025,7,2.12
Sulawesi Selatan,2025,8,2.18
Sulawesi Selatan,2025,9,2.45
Sulawesi Selatan,2025,10,2.52
Sulawesi Selatan,2025,11,2.59
Sulawesi Selatan,2025,12,2.55
Sulawesi Tenggara,2025,1,2.28
Sulawesi Tenggara,2025,2,2.51
Sulawesi Tenggara,2025,3,2.15
Sulawesi Tenggara,2025,4,2.34
Sulawesi Tenggara,2025,5,2.22
Sulawesi Tenggara,2025,6,1.78
Sulawesi Tenggara,2025,7,1.90
Sulawesi Tenggara,2025,8,1.96
Sulawesi Tenggara,2025,9,2.23
Sulawesi Tenggara,2025,10,2.30
Sulawesi Tenggara,2025,11,2.37
Sulawesi Tenggara,2025,12,2.33
Gorontalo,2025,1,2.61
Gorontalo,2025,2,2.84
Gorontalo,2025,3,2.48
Gorontalo,2025,4,2.67
Gorontalo,2025,5,2.55
Gorontalo,2025,6,2.11
Gorontalo,2025,7,2.23
Gorontalo,2025,8,2.29
Gorontalo,2025,9,2.56
Gorontalo,2025,10,2.63
Gorontalo,2025,11,2.70
Gorontalo,2025,12,2.66
Sulawesi Barat,2025,1,2.39
Sulawesi Barat,2025,2,2.62
Sulawesi Barat,2025,3,2.26
Sulawesi Barat,2025,4,2.45
Sulawesi Barat,2025,5,2.33
Sulawesi Barat,2025,6,1.89
Sulawesi Barat,2025,7,2.01
Sulawesi Barat,2025,8,2.07
Sulawesi Barat,2025,9,2.34
Sulawesi Barat,2025,10,2.41
Sulawesi Barat,2025,11,2.48
Sulawesi Barat,2025,12,2.44
Maluku,2025,1,2.17
Maluku,2025,2,2.40
Maluku,2025,3,2.04
Maluku,2025,4,2.23
Maluku,2025,5,2.11
Maluku,2025,6,1.67
Maluku,2025,7,1.79
Maluku,2025,8,1.85
Maluku,2025,9,2.12
Maluku,2025,10,2.19
Maluku,2025,11,2.26
Maluku,2025,12,2.22
Maluku Utara,2025,1,2.50
Maluku Utara,2025,2,2.73
Maluku Utara,2025,3,2.37
Maluku Utara,2025,4,2.56
Maluku Utara,2025,5,2.44
Maluku Utara,2025,6,2.00
Maluku Utara,2025,7,2.12
Maluku Utara,2025,8,2.18
Maluku Utara,2025,9,2.45
Maluku Utara,2025,10,2.52
Maluku Utara,2025,11,2.59
Maluku Utara,2025,12,2.55
Papua,2025,1,2.28
Papua,2025,2,2.51
Papua,2025,3,2.15
Papua,2025,4,2.34
Papua,2025,5,2.22
Papua,2025,6,1.78
Papua,2025,7,1.90
Papua,2025,8,1.96
Papua,2025,9,2.23
Papua,2025,10,2.30
Papua,2025,11,2.37
Papua,2025,12,2.33
Papua Barat,2025,1,2.61
Papua Barat,2025,2,2.84
Papua Barat,2025,3,2.48
Papua Barat,2025,4,2.67
Papua Barat,2025,5,2.55
Papua Barat,2025,6,2.11
Papua Barat,2025,7,2.23
Papua Barat,2025,8,2.29
Papua Barat,2025,9,2.56
Papua Barat,2025,10,2.63
Papua Barat,2025,11,2.70
Papua Barat,2025,12,2.66
