provinsi,tahun,bulan,inflasi
Maluku Utara,2025,4,3.14
Maluku Utara,2025,5,2.75
Maluku Utara,2025,6,2.9
Maluku Utara,2025,7,2.73
Maluku Utara,2025,8,2.59
Maluku Utara,2025,9,2.72
Maluku Utara,2025,10,2.94
Maluku Utara,2025,11,2.79
Maluku Utara,2025,12,3.44
Papua Barat,2025,1,3.44
Papua Barat,2025,2,3.61
Papua Barat,2025,3,3.19
Papua Barat,2025,4,3.09
Papua Barat,2025,5,3.05
Papua Barat,2025,6,2.77
Papua Barat,2025,7,3.02
Papua Barat,2025,8,2.76
Papua Barat,2025,9,3.26
Papua Barat,2025,10,3.05
Papua Barat,2025,11,2.99
Papua Barat,2025,12,3.53
Papua,2025,1,3.29
Papua,2025,2,3.72
Papua,2025,3,3.35
Papua,2025,4,3.06
Papua,2025,5,3.43
Papua,2025,6,2.94
Papua,2025,7,2.88
Papua,2025,8,3.22
Papua,2025,9,3.05
Papua,2025,10,3.1
Papua,2025,11,3.07
Papua,2025,12,3.27
