tanggal,kurs
2024-09-11,16820
2024-09-12,15848
2024-09-13,16756
2024-09-16,16282
2024-09-17,16164
2024-09-18,15720
2024-09-19,16292
2024-09-20,17139
2024-09-23,17010
2024-09-24,15876
2024-09-25,16769
2024-09-26,15549
2024-09-27,15520
2024-09-30,16306
2024-10-01,16698
2024-10-02,15902
2024-10-03,16059
2024-10-04,16451
2024-10-07,16930
2024-10-08,16567
2024-10-09,17293
2024-10-10,17158
2024-10-11,16470
2024-10-14,16374
2024-10-15,16662
2024-10-16,16415
2024-10-17,15917
2024-10-18,16036
2024-10-21,16367
2024-10-22,16615
2024-10-23,16002
2024-10-24,16394
2024-10-25,16115
2024-10-28,15504
2024-10-29,16672
2024-10-30,15663
2024-10-31,17055
2024-11-01,15871
2024-11-04,15923
2024-11-05,15649
2024-11-06,16084
2024-11-07,16628
2024-11-08,15704
2024-11-11,17438
2024-11-12,16220
2024-11-13,17044
2024-11-14,16981
2024-11-15,15772
2024-11-18,16975
2024-11-19,16732
2024-11-20,17462
2024-11-21,16297
2024-11-22,15746
2024-11-25,15784
2024-11-26,16347
2024-11-27,16177
2024-11-28,17065
2024-11-29,16461
2024-12-02,15557
2024-12-03,17203
2024-12-04,17417
2024-12-05,16442
2024-12-06,16674
2024-12-09,16499
2024-12-10,16230
2024-12-11,17436
2024-12-12,16744
2024-12-13,15573
2024-12-16,16842
2024-12-17,16334
2024-12-18,15837
2024-12-19,17245
2024-12-20,16256
2024-12-23,17459
2024-12-24,16516
2024-12-25,16694
2024-12-26,15923
2024-12-27,17013
2024-12-30,16386
2024-12-31,16017
2025-01-01,16048
2025-01-02,16340
2025-01-03,16064
2025-01-06,17080
2025-01-07,16898
2025-01-08,16842
2025-01-09,16995
2025-01-10,16668
2025-01-13,15687
2025-01-14,15570
2025-01-15,16963
2025-01-16,15519
2025-01-17,16025
2025-01-20,16257
2025-01-21,15998
2025-01-22,16584
2025-01-23,17224
2025-01-24,16527
2025-01-27,16369
2025-01-28,16637
2025-01-29,16238
2025-01-30,15756
2025-01-31,17238
2025-02-03,16199
2025-02-04,15861
2025-02-05,15974
2025-02-06,16872
2025-02-07,16009
2025-02-10,15995
2025-02-11,17434
2025-02-12,16134
2025-02-13,16142
2025-02-14,15902
2025-02-17,17391
2025-02-18,16272
2025-02-19,17338
2025-02-20,15622
2025-02-21,17455
2025-02-24,16185
2025-02-25,15592
2025-02-26,16107
2025-02-27,16650
2025-02-28,15942
2025-03-03,16163
2025-03-04,16535
2025-03-05,17267
2025-03-06,16440
2025-03-07,16141
2025-03-10,17252
2025-03-11,16039
2025-03-12,15967
2025-03-13,16159
2025-03-14,16538
2025-03-17,15957
2025-03-18,16957
2025-03-19,16195
2025-03-20,16440
2025-03-21,17207
2025-03-24,17481
2025-03-25,16439
2025-03-26,15510
2025-03-27,17057
2025-03-28,17468
2025-03-31,16324
2025-04-01,16781
2025-04-02,16925
2025-04-03,16849
2025-04-04,16807
2025-04-07,16535
2025-04-08,15939
2025-04-09,17243
2025-04-10,17179
2025-04-11,15666
2025-04-14,15663
2025-04-15,16488
2025-04-16,16537
2025-04-17,17045
2025-04-18,17252
2025-04-21,17400
2025-04-22,16239
2025-04-23,17280
2025-04-24,16436
2025-04-25,17034
2025-04-28,17387
2025-04-29,17035
2025-04-30,16559
2025-05-01,17264
2025-05-02,15937
2025-05-05,16926
2025-05-06,15582
2025-05-07,16700
2025-05-08,17189
2025-05-09,17105
2025-05-12,16769
2025-05-13,16901
2025-05-14,15509
2025-05-15,16961
2025-05-16,17145
2025-05-19,17079
2025-05-20,15669
2025-05-21,15527
2025-05-22,16921
2025-05-23,17301
2025-05-26,16186
2025-05-27,17296
2025-05-28,16229
2025-05-29,17092
2025-05-30,17182
2025-06-02,16532
2025-06-03,16844
2025-06-04,16675
2025-06-05,17331
2025-06-06,17260
2025-06-09,15975
2025-06-10,16403
2025-06-11,17187
2025-06-12,16644
2025-06-13,16059
2025-06-16,16524
2025-06-17,16483
2025-06-18,16815
2025-06-19,15959
2025-06-20,15644
2025-06-23,16779
2025-06-24,16612
2025-06-25,16452
2025-06-26,15509
2025-06-27,16015
2025-06-30,17093
2025-07-01,17248
2025-07-02,16632
2025-07-03,17222
2025-07-04,15565
2025-07-07,16554
2025-07-08,17111
2025-07-09,16718
2025-07-10,15795
2025-07-11,16947
2025-07-14,16277
2025-07-15,17416
2025-07-16,16329
2025-07-17,16012
2025-07-18,16345
2025-07-21,15868
2025-07-22,15717
2025-07-23,15879
2025-07-24,17226
2025-07-25,15508
2025-07-28,16491
2025-07-29,16915
2025-07-30,16852
2025-07-31,15780
2025-08-01,17396
2025-08-04,16423
2025-08-05,16635
2025-08-06,17389
2025-08-07,16301
2025-08-08,16144
2025-08-11,15955
2025-08-12,17472
2025-08-13,17421
2025-08-14,15876
2025-08-15,17109
2025-08-18,16336
2025-08-19,15810
2025-08-20,16980
2025-08-21,17390
2025-08-22,17191
2025-08-25,15729
2025-08-26,16848
2025-08-27,16796
2025-08-28,15797
2025-08-29,17398
2025-09-01,15788
2025-09-02,16916
2025-09-03,16491
2025-09-04,16826
2025-09-05,16956
2025-09-08,15684
2025-09-09,16124
2025-09-10,16070
2025-09-11,16209
2025-09-12,17120
2025-09-15,17288
2025-09-16,16676
2025-09-17,16395
2025-09-18,17313
2025-09-19,16449
2025-09-22,16454
2025-09-23,15945
2025-09-24,16963
2025-09-25,15978
2025-09-26,16436
2025-09-29,16832
2025-09-30,17418
2025-10-01,15675
2025-10-02,16288
2025-10-03,15766
2025-10-06,16813
2025-10-07,16340
2025-10-08,15592
2025-10-09,16590
2025-10-10,17355
2025-10-13,17319
2025-10-14,16051
2025-10-15,15650
2025-10-16,16293
2025-10-17,17308
2025-10-20,16448
2025-10-21,16560
2025-10-22,17286
2025-10-23,17057
2025-10-24,17028
2025-10-27,15579
2025-10-28,17298
2025-10-29,16948
2025-10-30,17047
2025-10-31,16440
2025-11-03,15651
2025-11-04,17064
2025-11-05,16436
2025-11-06,17475
2025-11-07,15967
2025-11-10,16767
2025-11-11,16464
2025-11-12,16442
2025-11-13,15820
2025-11-14,15739
2025-11-17,17365
2025-11-18,17314
2025-11-19,15734
2025-11-20,16623
2025-11-21,16822
2025-11-24,16649
2025-11-25,16142
2025-11-26,15953
2025-11-27,17293
2025-11-28,17310
2025-12-01,15633
2025-12-02,16184
2025-12-03,16041
2025-12-04,16791
2025-12-05,16931
2025-12-08,15878
2025-12-09,16741
2025-12-10,17351
2025-12-11,17120
2025-12-12,17278
2025-12-15,15536
2025-12-16,16992
2025-12-17,17065
2025-12-18,15940
2025-12-19,17017
2025-12-22,16673
2025-12-23,15998
2025-12-24,16014
2025-12-25,16418
2025-12-26,17384
2025-12-29,16916
2025-12-30,16359
2025-12-31,15721
2026-01-01,16086
2026-01-02,16947
2026-01-05,16048
2026-01-06,16278
2026-01-07,15849
2026-01-08,16969
2026-01-09,16702
2026-01-12,16400
2026-01-13,17276
2026-01-14,17406
2026-01-15,16463
2026-01-16,17396
2026-01-19,16986
2026-01-20,16791
2026-01-21,17180
2026-01-22,16964
2026-01-23,17316
2026-01-26,15923
2026-01-27,16870
2026-01-28,16990
2026-01-29,15733
2026-01-30,16597
